表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,1635,北海道 新得町,,7571247,,2593,
2020100000,2020年度,1636,北海道 清水町,,13527317,,4293,
2020100000,2020年度,1637,北海道 芽室町,,28473567,,8794,
2020100000,2020年度,1638,北海道 中札内村,,6419561,,1918,
2020100000,2020年度,1639,北海道 更別村,,6510043,,1638,
2020100000,2020年度,1641,北海道 大樹町,,8246798,,2646,
2020100000,2020年度,1642,北海道 広尾町,,8505431,,2814,
2020100000,2020年度,1643,北海道 幕別町,,35089379,,12061,
2020100000,2020年度,1644,北海道 池田町,,8298142,,2825,
2020100000,2020年度,1645,北海道 豊頃町,,5136550,,1430,
2020100000,2020年度,1646,北海道 本別町,,10012489,,3168,
2020100000,2020年度,1647,北海道 足寄町,,9443122,,3045,
2020100000,2020年度,1648,北海道 陸別町,,3011886,,979,
2020100000,2020年度,1649,北海道 浦幌町,,6272728,,2031,
2020100000,2020年度,1661,北海道 釧路町,,23748277,,8916,
2020100000,2020年度,1662,北海道 厚岸町,,11682801,,3920,
2020100000,2020年度,1663,北海道 浜中町,,8404957,,2586,
2020100000,2020年度,1664,北海道 標茶町,,10919887,,3427,
2020100000,2020年度,1665,北海道 弟子屈町,,9198603,,3006,
2020100000,2020年度,1667,北海道 鶴居村,,3644899,,1115,
2020100000,2020年度,1668,北海道 白糠町,,7609635,,3083,
2020100000,2020年度,1691,北海道 別海町,,27804384,,7689,
2020100000,2020年度,1692,北海道 中標津町,,34628417,,11361,
2020100000,2020年度,1693,北海道 標津町,,7843191,,2396,
2020100000,2020年度,1694,北海道 羅臼町,,7019467,,2292,
